pertanyaan,jawaban,sumber,mata_kuliah,sumber_dokumen
Apa saja tiga jenis fungsi yang dapat didefinisikan pengguna (User Defined Function) dalam SQL Server?,"Scalar Function, Inline table-valued function, dan Multi-statement table-valued function.",Types of User defined function Scalar Function Inline table-valued function Multi-statement table-valued function,Basis Data 2,scalar USER DEFINED FUNCTION.txt
Apa yang dimaksud dengan fungsi skalar (Scalar Function) dan apa yang dikembalikannya?,Fungsi skalar SQL Server mengambil satu atau beberapa parameter dan mengembalikan satu nilai.,Fungsi skalar SQL Server mengambil satu atau beberapa parameter dan mengembalikan satu nilai.,Basis Data 2,scalar USER DEFINED FUNCTION.txt
Bagaimana perbedaan utama antara Inline table-valued function dan Multi-statement table-valued function?,"Inline table-valued function selalu memberikan nilai dalam bentuk rowset yang menyerupai view dan dapat menggunakan variabel input, sedangkan Multi-statement table-valued function memasukkan hasil query ke dalam variabel tabel yang strukturnya didefinisikan di dalam fungsi.","Inline table-valued function ... selalu memberikan nilai dalam bentuk rowset . Hasil keluaran dari fungsi ini menyerupai view , hanya fungsi ini dapat menggunakan variabel input. Perbedaannya dengan fungsi inline table , adalah hasil dari query itu dimasukkan ke dalam variabel dengan tipe data tabel (variabel jenis ini ada di sql server 2012). Variabel tersebut didefinisikan strukturnya dalam fungsi.",Basis Data 2,scalar USER DEFINED FUNCTION.txt
Sintaks dasar untuk membuat (CREATE) sebuah fungsi pengguna di SQL Server adalah seperti apa?,CREATE FUNCTION [database_name.]function_name (parameters) RETURNS data_type AS BEGIN SQL statements RETURN value END;,CREATE FUNCTION [database_name.]function_name (parameters) RETURNS data_type AS BEGIN SQL statements RETURN value END;,Basis Data 2,scalar USER DEFINED FUNCTION.txt
"Pada contoh fungsi east_or_west, nilai apa yang dikembalikan jika parameter @long bernilai 0?",Fungsi mengembalikan nilai 'same'.,SET @return_value = 'same'; IF (@long > 0.00) SET @return_value = 'east'; IF (@long < 0.00) SET @return_value = 'west'; RETURN @return_value,Basis Data 2,scalar USER DEFINED FUNCTION.txt
Bagaimana cara menghitung harga unit tertinggi (max price) menggunakan fungsi pengguna?,"Membuat fungsi dbo.fn_maxprice() yang mengembalikan decimal(6,2) dengan pernyataan SELECT @maxprice = max(Unit_price) FROM products, kemudian memanggilnya dengan SELECT dbo.fn_maxprice().","create function dbo.fn_maxprice() returns decimal(6,2) as begin declare @maxprice as decimal(6,2) select @maxprice = max(Unit_price) from products return @maxprice end go select dbo.fn_maxprice()",Basis Data 2,scalar USER DEFINED FUNCTION.txt
Fungsi dbo.fn_countcustomer() mengembalikan tipe data apa dan menghitung apa?,Mengembalikan tipe data int dan menghitung jumlah baris pada tabel customers yang nama pelanggannya mengandung kata 'Furniture'.,create function dbo.fn_countcustomer() returns int as begin declare @count int select @count = count (Customer_name) from customers where Customer_name like '%Furniture' return @count end,Basis Data 2,scalar USER DEFINED FUNCTION.txt
Apa parameter yang diperlukan oleh fungsi dbo.fn_infoprice dan nilai apa yang dikembalikannya?,"Fungsi memerlukan dua parameter: @product_id (int) dan @product_name (varchar(40)), dan mengembalikan harga unit (decimal(6,2)) dari produk yang sesuai.","create function dbo.fn_infoprice(@product_id int,@product_name varchar(40)) returns decimal(6,2) as begin declare @unit_price decimal(6,2) select @unit_price = Unit_price from products where product_id = @product_id and Product_name = @product_name return @unit_price end",Basis Data 2,scalar USER DEFINED FUNCTION.txt
Bagaimana cara mengubah (ALTER) sebuah fungsi yang sudah ada di SQL Server?,"Menggunakan perintah ALTER FUNCTION diikuti nama fungsi, parameter, dan definisi baru, dengan struktur yang sama seperti CREATE FUNCTION.",ALTER FUNCTION [database_name.]function_name (parameters) RETURNS data_type AS BEGIN SQL statements RETURN value END;,Basis Data 2,scalar USER DEFINED FUNCTION.txt
Apa perintah yang digunakan untuk menghapus (DROP) sebuah fungsi pengguna di SQL Server?,DROP FUNCTION [database_name.]function_name;,DROP FUNCTION [database_name.]function_name;,Basis Data 2,scalar USER DEFINED FUNCTION.txt
Bagaimana cara membuat prosedur tersimpan (stored procedure) yang memiliki parameter output?,Dengan menggunakan kata kunci OUT atau OUTPUT.,"To create a stored procedure with output parameter, we use the keywords OUT or OUTPUT.",Basis Data 2,Store procedure dengan output parameter_W6.txt
"Pada contoh prosedur spGetEmployeeCountByGender, apa peran @EmployeeCount?",@EmployeeCount merupakan parameter OUTPUT yang akan menampung jumlah karyawan sesuai gender.,@EmployeeCount in the below stored procedure is an OUTPUT parameter.,Basis Data 2,Store procedure dengan output parameter_W6.txt
Apa sintaks lengkap untuk membuat prosedur spGetEmployeeCountByGender?,"CREATE PROCEDURE spGetEmployeeCountByGender @Gender nvarchar(20), @EmployeeCount int Output AS BEGIN SELECT @EmployeeCount = COUNT(Id) FROM tblEmployee WHERE Gender = @Gender END","CREATE PROCEDURE spGetEmployeeCountByGender @Gender nvarchar(20), @EmployeeCount int Output AS BEGIN SELECT @EmployeeCount = COUNT(Id) FROM tblEmployee WHERE Gender = @Gender END",Basis Data 2,Store procedure dengan output parameter_W6.txt
Langkah pertama apa yang harus dilakukan sebelum mengeksekusi prosedur dengan parameter output?,Menginisialisasi variabel dengan tipe data yang sama dengan parameter output.,"First, initialise a variable of same datatype as that of the output parameter.",Basis Data 2,Store procedure dengan output parameter_W6.txt
Mengapa harus menambahkan kata kunci OUTPUT saat memanggil prosedur dengan parameter output?,"Karena tanpa kata kunci OUTPUT, nilai variabel akan menjadi NULL.","If you don't specify the OUTPUT keyword, the variable will be NULL.",Basis Data 2,Store procedure dengan output parameter_W6.txt
Contoh perintah untuk mengeksekusi spGetEmployeeCountByGender dengan gender 'Female' dan menampilkan hasilnya?,"DECLARE @EmployeeTotal int; EXECUTE spGetEmployeeCountByGender 'Female', @EmployeeTotal output; PRINT @EmployeeTotal.","DECLARE @EmployeeTotal int EXECUTE spGetEmployeeCountByGender 'Female', @EmployeeTotal output PRINT @EmployeeTotal",Basis Data 2,Store procedure dengan output parameter_W6.txt
Apa yang terjadi jika prosedur dipanggil tanpa menyertakan kata kunci OUTPUT?,"Variabel @EmployeeTotal akan bernilai NULL, seperti yang ditunjukkan oleh pesan '@EmployeeTotal is null'.",IF(@EmployeeTotal is null) PRINT '@EmployeeTotal is null',Basis Data 2,Store procedure dengan output parameter_W6.txt
Dapatkah urutan parameter diubah saat memanggil prosedur dengan nama parameter?,"Ya, urutan dapat diubah asalkan menggunakan nama parameter, contoh: EXECUTE spGetEmployeeCountByGender @EmployeeCount = @EmployeeTotal OUT, @Gender = 'Male'.","While using the parameter names, you can pass the parameters in any order.",Basis Data 2,Store procedure dengan output parameter_W6.txt
Apa fungsi sistem prosedur sp_help?,"sp_help digunakan untuk melihat informasi tentang objek basis data, termasuk prosedur tersimpan, seperti nama parameter dan tipe datanya.","sp_help SP_Name: Used to view the information about the stored procedure like parameter names, their datatypes, etc.",Basis Data 2,Store procedure dengan output parameter_W6.txt
Bagaimana cara melihat teks lengkap dari sebuah prosedur tersimpan?,"Menggunakan sp_helptext dengan nama prosedur, misalnya sp_helptext spGetEmployeeCountByGender.",sp_helptext SP_Name: Used to view the Text of the stored procedure.,Basis Data 2,Store procedure dengan output parameter_W6.txt
Apa yang diproduksi oleh perusahaan penerbitan?,Perusahaan penerbitan memproduksi buku ilmiah pada berbagai subjek.,A publishing company produces scientific books on various subjects.,Basis Data 2,STUDI KASUS 10.txt
Siapa yang menulis buku-buku tersebut?,Buku-buku ditulis oleh penulis yang berspesialisasi pada satu subjek tertentu.,The books are written by authors who specialize in one particular subject.,Basis Data 2,STUDI KASUS 10.txt
Apakah editor harus menjadi spesialis dalam bidang tertentu?,"Tidak, editor tidak harus menjadi spesialis dalam bidang tertentu.","The company employs editors who, not necessarily being specialists in a particular area,",Basis Data 2,STUDI KASUS 10.txt
Berapa banyak publikasi yang dapat diedit oleh satu editor?,Setiap editor bertanggung jawab mengedit satu atau lebih publikasi.,each take sole responsibility for editing one or more publications.,Basis Data 2,STUDI KASUS 10.txt
Apa yang dicakup oleh sebuah publikasi?,Sebuah publikasi mencakup satu subjek spesialis dan biasanya ditulis oleh satu penulis.,A publication covers essentially one of the specialist subjects and is normally written by a single author.,Basis Data 2,STUDI KASUS 10.txt
Bagaimana hubungan antara penulis dan editor saat menulis sebuah buku?,Setiap penulis bekerja dengan seorang editor ketika menulis sebuah buku.,"When writing a particular book, each author works with an editor,",Basis Data 2,STUDI KASUS 10.txt
Apakah penulis dapat mengirimkan karya lain ke editor yang berbeda?,"Ya, penulis dapat mengirimkan karya lain untuk diawasi oleh editor lain.",but may submit another work for publication to be supervised by other editors.,Basis Data 2,STUDI KASUS 10.txt
Apa tujuan perusahaan dalam hal keberagaman penulis?,"Perusahaan berusaha mempekerjakan beragam penulis, dengan lebih dari satu penulis yang menjadi spesialis dalam subjek tertentu.","To improve their competitiveness, the company tries to employ a variety of authors, more than one author being a specialist in a particular subject.",Basis Data 2,STUDI KASUS 10.txt
Apakah satu publikasi biasanya ditulis oleh lebih dari satu penulis?,"Tidak, biasanya sebuah publikasi ditulis oleh satu penulis saja.",is normally written by a single author.,Basis Data 2,STUDI KASUS 10.txt
Apakah editor memiliki tanggung jawab tunggal atau berganda terhadap publikasi?,Setiap editor memiliki tanggung jawab tunggal atas satu atau lebih publikasi.,each take sole responsibility for editing one or more publications.,Basis Data 2,STUDI KASUS 10.txt
Berapa jumlah departemen yang dioperasikan oleh perusahaan?,Empat departemen.,- A company operates four departements.,Basis Data 2,STUDI KASUS 2.txt
Apa hubungan antara departemen dan karyawan?,Setiap departemen mempekerjakan karyawan (hubungan satu‑ke‑banyak).,- Each departement employs employees.,Basis Data 2,STUDI KASUS 2.txt
Apakah setiap karyawan wajib memiliki satu atau lebih tanggungan?,"Tidak, seorang karyawan dapat memiliki atau tidak memiliki satu atau lebih tanggungan.",- Each of the employees may or may not have one or more dependents.,Basis Data 2,STUDI KASUS 2.txt
Berapa kardinalitas hubungan antara karyawan dan tanggungan?,Seorang karyawan dapat memiliki nol atau lebih tanggungan.,- Each of the employees may or may not have one or more dependents.,Basis Data 2,STUDI KASUS 2.txt
Apakah setiap karyawan wajib memiliki riwayat pekerjaan?,"Tidak, seorang karyawan dapat memiliki atau tidak memiliki riwayat pekerjaan.",- Each employee may or may not have an employement history.,Basis Data 2,STUDI KASUS 2.txt
Apa yang diminta pada poin a dalam studi kasus ini?,Mendefinisikan entitas dan hubungan (relationships).,a. Define entity and relathionships,Basis Data 2,STUDI KASUS 2.txt
Diagram apa yang diminta untuk menggambarkan model konseptual pada poin b?,Diagram Chen.,b. Draw the conceptual model with Chen diagram,Basis Data 2,STUDI KASUS 2.txt
Diagram apa yang diminta untuk menggambarkan model konseptual pada poin c?,Diagram Crow Foot.,c. Draw the conceptual model with Crow Foot diagram,Basis Data 2,STUDI KASUS 2.txt
Entitas apa saja yang terlibat dalam studi kasus ini?,"Departemen, Karyawan (Employee), Tanggungan (Dependent), dan Riwayat Pekerjaan (Employment History).",- Each departement employs employees.; - Each of the employees may or may not have one or more dependents.; - Each employee may or not have an employement history.,Basis Data 2,STUDI KASUS 2.txt
Apa hubungan antara departemen dan karyawan menurut aturan a?,"Departemen mempekerjakan banyak karyawan, sedangkan setiap karyawan hanya bekerja pada satu departemen.","A department employs many employees, but each employee is employed by one department.",Basis Data 2,STUDI KASUS 3.txt
Apakah semua karyawan harus terhubung dengan departemen?,"Tidak, terdapat karyawan yang disebut ""Rovers"" yang tidak ditugaskan ke departemen manapun.","Some employees, known as ""Rovers"" are not assigned to any department.",Basis Data 2,STUDI KASUS 3.txt
Bagaimana hubungan antara divisi dan departemen?,"Sebuah divisi mengoperasikan banyak departemen, dan setiap departemen dioperasikan oleh satu divisi.","Divisions operates many departements, but each departments is operated by one division.",Basis Data 2,STUDI KASUS 3.txt
Dapatkah seorang karyawan terlibat dalam lebih dari satu proyek?,"Ya, seorang karyawan dapat ditugaskan ke banyak proyek, dan sebuah proyek dapat memiliki banyak karyawan yang ditugaskan.","An employee may be assigned to many projects, and a projects may have many employees assigned to it.",Basis Data 2,STUDI KASUS 3.txt
Apakah sebuah proyek dapat tidak memiliki karyawan yang ditugaskan?,"Tidak, setiap proyek harus memiliki setidaknya satu karyawan yang ditugaskan.",a project must have at least one employee assigned to it.,Basis Data 2,STUDI KASUS 3.txt
Siapa yang mengelola departemen?,"Satu karyawan mengelola satu departemen, dan setiap departemen dikelola oleh satu karyawan saja.","One of the employees manages one department, and each department is managed by only one employee.",Basis Data 2,STUDI KASUS 3.txt
Siapa yang memimpin divisi?,"Satu karyawan menjalankan sebuah divisi, dan setiap divisi dijalankan oleh satu karyawan.","One of the employee runs a division, and each division is run by one employee.",Basis Data 2,STUDI KASUS 3.txt
Entitas apa saja yang harus didefinisikan dalam model ER berdasarkan kasus ini?,"Entitas yang diperlukan antara lain Departemen, Karyawan, Divisi, dan Proyek.","A department employs many employees, but each employee is employed by one department.; Some employees, known as ""Rovers"" are not assigned to any department.; Divisions operates many departements, but each departments is operated by one division.; An employee may be assigned to many projects, and a projects may have many employees assigned to it.; a project must have at least one employee assigned to it.; One of the employees manages one department, and each department is managed by only one employee.; One of the employee runs a division, and each division is run by one employee.",Basis Data 2,STUDI KASUS 3.txt
Hubungan apa yang diperlukan untuk menggambarkan penugasan karyawan ke proyek dalam diagram Chen?,Diperlukan hubungan many-to-many (banyak ke banyak) antara entitas Karyawan dan Proyek.,"An employee may be assigned to many projects, and a projects may have many employees assigned to it.",Basis Data 2,STUDI KASUS 3.txt
"Dalam diagram Crow's Foot, bagaimana menampilkan hubungan manajemen departemen?",Hubungan ditampilkan sebagai satu-ke-satu (1:1) antara entitas Karyawan (sebagai manajer) dan Departemen (yang dikelola).,"One of the employees manages one department, and each department is managed by only one employee.",Basis Data 2,STUDI KASUS 3.txt
Apa nama konferensi basket yang disebutkan dalam dokumen?,The Johannes County BasketBall Conference (JCBC).,The Johannes County BasketBall Conference ( JCBC) is an amateur Basketball association.,Basis Data 2,STUDI KASUS 4.txt
Jenis organisasi apa yang dijelaskan untuk JCBC?,JCBC merupakan sebuah asosiasi basket amatir.,The Johannes County BasketBall Conference ( JCBC) is an amateur Basketball association.,Basis Data 2,STUDI KASUS 4.txt
Berapa banyak tim yang dimiliki setiap kota di county?,Setiap kota di county memiliki satu tim yang mewakili kota tersebut.,Each city in the County has one team that represent it.,Basis Data 2,STUDI KASUS 4.txt
Berapa jumlah pemain minimum dan maksimum yang boleh dimiliki satu tim?,Satu tim dapat memiliki minimal sembilan pemain dan maksimal dua belas pemain.,Each team has maximum 12 players and a minimum of nine players.,Basis Data 2,STUDI KASUS 4.txt
"Berapa jumlah pelatih maksimal yang dapat dimiliki satu tim, dan jenis pelatih apa saja yang disebutkan?","Satu tim dapat memiliki hingga tiga pelatih, yaitu pelatih ofensif, defensif, dan pelatih PT.","Each team also has up to three coaches ( offensive,defensive, and PT coaches) .",Basis Data 2,STUDI KASUS 4.txt
Berapa kali setiap tim bertanding melawan tim lain dalam satu musim?,"Setiap tim bermain dua kali melawan tim lain, satu pertandingan di kandang dan satu pertandingan di luar.",Each team plays two games (home and visitor) against each other team during the season.,Basis Data 2,STUDI KASUS 4.txt
Apa saja tugas yang diminta dalam studi kasus tersebut?,"Tugasnya meliputi: (1) mendefinisikan entitas dan hubungan, (2) menggambar diagram ER dengan notasi Chen, dan (3) menggambar diagram ER dengan notasi Crow Foot.","1. Define entity and relathionships.
2. Draw the ER diagram with Chen diagram.
3. Draw the ER diagram with Crow Foot diagram.",Basis Data 2,STUDI KASUS 4.txt
Apakah setiap tim wajib memiliki tiga pelatih?,"Tidak wajib; setiap tim dapat memiliki hingga tiga pelatih, tetapi tidak harus tiga.","Each team also has up to three coaches ( offensive,defensive, and PT coaches) .",Basis Data 2,STUDI KASUS 4.txt
Apakah pelatih PT termasuk dalam jenis pelatih yang dapat dimiliki tim?,"Ya, pelatih PT termasuk dalam tiga jenis pelatih yang dapat dimiliki tim.","Each team also has up to three coaches ( offensive,defensive, and PT coaches) .",Basis Data 2,STUDI KASUS 4.txt
Apa yang diproduksi oleh Automata Inc.?,Kendaraan khusus berdasarkan kontrak.,Automata Inc. produces specially vehicles by contract.,Basis Data 2,STUDI KASUS 5.txt
Berapa banyak departemen yang dimiliki perusahaan dan apa tugas masing-masing?,"Perusahaan memiliki beberapa departemen, masing-masing membangun kendaraan tertentu seperti limusin, truk, van, atau RV.","The company operates several departments, each of builds a praticular vehicle, such as limousine, a truck, a van or an RV.",Basis Data 2,STUDI KASUS 5.txt
Apa yang dilakukan departemen ketika kendaraan baru selesai dibangun?,Departemen menempatkan pesanan ke departemen pembelian untuk meminta komponen spesifik.,"When a new vehicle is built, the department places an order with purchasing department to request specific component.",Basis Data 2,STUDI KASUS 5.txt
Apa tujuan departemen pembelian membuat basis data?,Untuk melacak pesanan dan mempercepat proses pengiriman material.,"Automata's purchasing department is interested in creating database to keep track of orders and to accelerate the process of delivering materials,",Basis Data 2,STUDI KASUS 5.txt
Bagaimana sifat pesanan yang diterima oleh departemen pembelian?,Pesanan dapat berisi beberapa item yang berbeda.,The order received by purchasing department can contain several different items.,Basis Data 2,STUDI KASUS 5.txt
Apa yang dipelihara dalam inventaris?,Item yang paling sering diminta dipertahankan dalam inventaris.,An inventory is maintained that is the most frequently requested item is inventory.,Basis Data 2,STUDI KASUS 5.txt
Apa yang harus dilakukan jika suatu item tidak ada dalam inventaris?,Item tersebut harus dipesan dari pemasok.,"If an item is not in inventory, it must be ordered from a supplier.",Basis Data 2,STUDI KASUS 5.txt
Berapa banyak pemasok yang dapat menyediakan satu item?,Setiap item dapat memiliki beberapa pemasok.,Each item may have several suppliers.,Basis Data 2,STUDI KASUS 5.txt
Apa hubungan antara pasien dan janji temu dalam sistem ini?,Seorang pasien dapat membuat banyak janji temu dengan satu atau lebih dokter.,A patient can make many appointments with one or more doctors in clinic,Basis Data 2,STUDI KASUS 6.txt
Apa hubungan antara dokter dan janji temu?,Seorang dokter dapat menerima banyak janji temu dengan banyak pasien.,and a doctor can accept many appointments with many patients,Basis Data 2,STUDI KASUS 6.txt
Berapa dokter yang terlibat dalam satu janji temu?,Setiap janji temu hanya melibatkan satu dokter.,"However, each appointment made with only one doctor",Basis Data 2,STUDI KASUS 6.txt
Berapa pasien yang terlibat dalam satu janji temu?,Setiap janji temu merujuk pada satu pasien.,and each appointment references a single patient,Basis Data 2,STUDI KASUS 6.txt
Bagaimana penanganan kasus darurat terkait janji temu?,"Kasus darurat tidak memerlukan janji temu, namun dimasukkan ke buku janji temu sebagai ""unscheduled"" untuk keperluan manajemen janji temu.","Emergency cases do not require an appointment. However an emergency is entered into the appointment book as ""unscheduled"" for appointment management purposes",Basis Data 2,STUDI KASUS 6.txt
Apa yang terjadi jika sebuah janji temu dipertahankan (kept)?,Janji temu menghasilkan kunjungan dengan dokter yang ditentukan dalam janji temu tersebut.,If Kept. an appointment yields a visit with the doctor specified in the appointment,Basis Data 2,STUDI KASUS 6.txt
Apa hasil dari sebuah kunjungan (visit) dalam konteks diagnosis dan perawatan?,"Kunjungan menghasilkan diagnosis dan, bila diperlukan, perawatan.","The visit yields a diagnosis and , when appropriate , treatment",Basis Data 2,STUDI KASUS 6.txt
Bagaimana kunjungan mempengaruhi catatan medis pasien?,Setiap kunjungan memperbarui catatan pasien untuk menyediakan riwayat medis.,Each Visit updates the patients records to provide a medical history,Basis Data 2,STUDI KASUS 6.txt
Apa yang dihasilkan dari setiap kunjungan pasien terkait penagihan?,Setiap kunjungan pasien menghasilkan tagihan.,Each patient visit creates a bill,Basis Data 2,STUDI KASUS 6.txt
Bagaimana hubungan penagihan antara dokter dan pasien?,"Setiap kunjungan pasien ditagih oleh satu dokter, dan setiap dokter dapat menagih banyak pasien.",Each Patient visit is billed by one doctor and each doctor can bill many patients,Basis Data 2,STUDI KASUS 6.txt
Apa tujuan utama dari basis data yang akan dirancang?,Untuk memantau kemajuan mahasiswa sepanjang studi mereka.,A database is to be designed for a college to monitor student's progress throughout their course of study.,Basis Data 2,STUDI KASUS 7.txt
Jenis gelar apa saja yang dapat diambil mahasiswa menurut dokumen?,"Gelar seperti BA, BA(Hons), MSc, dan lain-lain.","The students are reading for a degree (such as BA, BA(Hons) MSc, etc) within the framework of the modular system.",Basis Data 2,STUDI KASUS 7.txt
Apa saja karakteristik yang dimiliki sebuah modul?,"Kode, judul, nilai kredit, pemimpin modul, staf pengajar, dan departemen asalnya.","The college provides a number of module, each being characterised by its code, title, credit value, module leader, teaching staff and the department they come from.",Basis Data 2,STUDI KASUS 7.txt
Siapa yang mengoordinasikan sebuah modul?,Seorang pemimpin modul (module leader).,A module is co-ordinated by a module leader who shares teaching duties with one or more lecturers.,Basis Data 2,STUDI KASUS 7.txt
Bagaimana pembagian tugas mengajar dalam sebuah modul?,Pemimpin modul berbagi tugas mengajar dengan satu atau lebih dosen.,A module is co-ordinated by a module leader who shares teaching duties with one or more lecturers.,Basis Data 2,STUDI KASUS 7.txt
Dapatkah seorang dosen menjadi pemimpin modul sekaligus mengajar modul lain?,"Ya, seorang dosen dapat mengajar dan menjadi pemimpin modul untuk lebih dari satu modul.",A lecturer may teach (and be a module leader for) more than one module.,Basis Data 2,STUDI KASUS 7.txt
Apa aturan yang harus dipatuhi mahasiswa saat memilih modul?,Beberapa modul memerlukan modul prasyarat dan beberapa program gelar memiliki modul wajib.,Students are free to choose any module they wish but the following rules must be observed: some modules require pre-requisites modules and some degree programmes have compulsory modules.,Basis Data 2,STUDI KASUS 7.txt
Informasi apa saja tentang mahasiswa yang harus disimpan dalam basis data?,"Nomor, nama, alamat, gelar yang diambil, serta kinerja masa lalu berupa modul yang diambil dan hasil ujian.","The database is also to contain some information about students including their numbers, names, addresses, degrees they read for, and their past performance (i.e. modules taken and examination result).",Basis Data 2,STUDI KASUS 7.txt
Apakah setiap modul memiliki nilai kredit?,"Ya, setiap modul memiliki nilai kredit.","The college provides a number of module, each being characterised by its code, title, credit value, module leader, teaching staff and the department they come from.",Basis Data 2,STUDI KASUS 7.txt
Sistem pembelajaran apa yang digunakan dalam program studi ini?,Sistem modular.,"The students are reading for a degree (such as BA, BA(Hons) MSc, etc) within the framework of the modular system.",Basis Data 2,STUDI KASUS 7.txt
Apa tujuan utama pembuatan basis data relasional dalam perusahaan ini?,Untuk merancang basis data relasional bagi perusahaan menengah yang bergerak dalam aplikasi industri komputer.,A relational database is to be designed for a medium sized Company dealing with industrial applications of computers.,Basis Data 2,STUDI KASUS 8.txt
Produk apa saja yang disediakan perusahaan kepada pelanggannya?,Berbagai produk mulai dari program aplikasi tunggal hingga instalasi lengkap perangkat keras dengan perangkat lunak yang disesuaikan.,The Company delivers various products to its customers ranging from a single application program through to complete installation of hardware with customized software.,Basis Data 2,STUDI KASUS 8.txt
Siapa saja yang dipekerjakan oleh perusahaan?,"Berbagai ahli, konsultan, dan staf pendukung.","The Company employs various experts, consultants and supporting staff.",Basis Data 2,STUDI KASUS 8.txt
Apakah perusahaan memiliki staf temporer atau kontrak pendek?,"Tidak, semua personel dipekerjakan secara jangka panjang, tidak ada staf jangka pendek atau temporer.","All personnel are employed on long-term basis, i.e.there are no short-term or temporary staff.",Basis Data 2,STUDI KASUS 8.txt
Bagaimana struktur administratif perusahaan?,Perusahaan dibagi menjadi departemen yang dipimpin oleh manajer departemen.,"Although the Company is somehow structured for administrative purposes (that is, it is divided into departments headed by department managers) all projects are carried out in an inter-disciplinary way.",Basis Data 2,STUDI KASUS 8.txt
Bagaimana cara pelaksanaan proyek di perusahaan?,Semua proyek dilaksanakan secara interdisipliner dengan tim proyek yang terdiri dari karyawan dari berbagai departemen.,"Although the Company is somehow structured for administrative purposes (that is, it is divided into departments headed by department managers) all projects are carried out in an inter-disciplinary way.",Basis Data 2,STUDI KASUS 8.txt
Siapa yang ditunjuk sebagai penanggung jawab utama proyek?,"Seorang Manajer Proyek, yang juga merupakan karyawan perusahaan, ditunjuk dan bertanggung jawab penuh serta eksklusif atas kontrol proyek.","For each project a project team is selected, grouping employees from different departments, and a Project Manager (also an employee of the Company) is appointed who is entirely and exclusively responsible for the control of the project, quite independently of the Company's hierarchy.",Basis Data 2,STUDI KASUS 8.txt
Apakah Manajer Proyek berada di bawah hierarki perusahaan?,"Tidak, Manajer Proyek bertanggung jawab secara independen dari hierarki perusahaan.","For each project a project team is selected, grouping employees from different departments, and a Project Manager (also an employee of the Company) is appointed who is entirely and exclusively responsible for the control of the project, quite independently of the Company's hierarchy.",Basis Data 2,STUDI KASUS 8.txt
Apakah tim proyek dapat mencakup karyawan dari satu departemen saja?,"Tidak, tim proyek dibentuk dengan mengelompokkan karyawan dari departemen yang berbeda.","For each project a project team is selected, grouping employees from different departments, and a Project Manager (also an employee of the Company) is appointed who is entirely and exclusively responsible for the control of the project, quite independently of the Company's hierarchy.",Basis Data 2,STUDI KASUS 8.txt
Apa jenis usaha EverFail Company?,EverFail Company bergerak di bidang layanan ganti oli cepat dan pelumasan (quick oil change dan lube).,EverFail Company is in the quick oil change dan lube business.,Basis Data 2,STUDI KASUS 9 (1).txt
Layanan apa saja yang ditawarkan EverFail selain ganti oli cepat?,"Selain ganti oli cepat, EverFail juga mengganti wiper kaca depan, filter oli, dan filter udara dengan persetujuan pelanggan.","EverFail also replace winshield wippers , oil filters, and air filters, subject to customer approval.",Basis Data 2,STUDI KASUS 9 (1).txt
Apa saja yang termasuk dalam tagihan (invoice) pelanggan EverFail?,"Tagihan mencakup biaya minyak yang digunakan, semua suku cadang yang dipakai, dan biaya tenaga kerja standar.","The invoice contain the charges of the oil used and all parts used, and a standard labor charge.",Basis Data 2,STUDI KASUS 9 (1).txt
Metode pembayaran apa yang diterima EverFail?,"Pelanggan dapat membayar dengan tunai, kartu kredit, atau cek.","When the invoice is presented, customers pay cash , use credit card , or write a check.",Basis Data 2,STUDI KASUS 9 (1).txt
Apakah EverFail memberikan kredit kepada pelanggan?,"Tidak, EverFail tidak memberikan kredit kepada pelanggan.",EverFail does not extend credit.,Basis Data 2,STUDI KASUS 9 (1).txt
Bagaimana EverFail mengelola persediaan suku cadang?,"EverFail melakukan kontrol ketat terhadap persediaan; bila kuantitas on‑hand mencapai minimum, suku cadang yang kurang harus dipesan ulang dari vendor yang sesuai.","Given the high part usage of the business operations, EverFail must maintain careful control of its parts (oil, wipers, oil filters, air filters) inventory. Therefore , if parts reach minimum on-hand Quantity, the parts in low supply must be reordered from an appropriate vendor.",Basis Data 2,STUDI KASUS 9 (1).txt
Apa yang tercakup dalam daftar vendor EverFail?,Daftar vendor mencakup vendor yang sebenarnya digunakan serta vendor potensial.,"EverFail maintains a vendor List, which contains both the vendors actually used and the potential vendors.",Basis Data 2,STUDI KASUS 9 (1).txt
Bagaimana EverFail memberi informasi kepada pelanggan secara berkala?,EverFail secara periodik mengirimkan pembaruan melalui surat kepada pelanggan berdasarkan tanggal layanan mobil.,"Periodically , EverFail mails updates to customers, based on the date of the car's Service.",Basis Data 2,STUDI KASUS 9 (1).txt
Informasi apa yang dilacak EverFail mengenai mobil pelanggan?,EverFail melacak jarak tempuh (mileage) mobil setiap pelanggan.,everFail also tracks each customer's car mileage.,Basis Data 2,STUDI KASUS 9 (1).txt
Apa tujuan utama basis data EverFail?,Basis data dirancang untuk melacak semua komponen dalam semua transaksi.,EverFail's database is to be designed to keep track of all components in all transactions.,Basis Data 2,STUDI KASUS 9 (1).txt
Apa jenis usaha EverFail Company?,EverFail Company bergerak di bidang layanan perubahan oli cepat dan pelumasan (quick oil change dan lube).,EverFail Company is in the quick oil change dan lube business.,Basis Data 2,STUDI KASUS 9.txt
